Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
3/17/03,Germany,1,0,0
3/17/03,Canada,8,2,0
3/17/03,Singapore,20,0,0
3/17/03,"Hong Kong SAR, China",95,1,0
3/17/03,Switzerland,2,0,0
3/17/03,Thailand,1,0,0
3/17/03,Viet Nam,40,1,0
3/18/03,Germany,2,0,0
3/18/03,Canada,8,2,0
3/18/03,China,0,0,0
3/18/03,Singapore,23,0,0
3/18/03,"Hong Kong SAR, China",123,1,0
3/18/03,"Taiwan, China",3,0,0
3/18/03,Thailand,1,0,0
3/18/03,Viet Nam,57,1,0
3/18/03,Slovenia,1,0,0
3/18/03,United Kingdom,1,0,0
3/19/03,Canada,8,2,0
3/19/03,China,0,0,0
3/19/03,Germany,1,0,0
3/19/03,"Hong Kong SAR, China",150,5,0
3/19/03,Singapore,31,0,0
3/19/03,Slovenia,1,0,0
3/19/03,Spain,1,0,0
3/19/03,"Taiwan, China",3,0,0
3/19/03,Thailand,1,0,0
3/19/03,United Kingdom,1,0,0
3/19/03,United States,11,0,0
3/19/03,Viet Nam,56,2,0
3/20/03,Canada,9,2,0
3/20/03,China,0,0,0
3/20/03,Germany,1,0,0
3/20/03,"Hong Kong SAR, China",173,6,0
3/20/03,Singapore,34,0,0
3/20/03,Slovenia,1,0,0
3/20/03,Spain,1,0,0
3/20/03,Switzerland,7,0,0
3/20/03,"Taiwan, China",4,0,0
3/20/03,Thailand,1,0,0
3/20/03,United Kingdom,2,0,0
3/20/03,United States,11,0,0
3/20/03,Viet Nam,62,2,0
3/21/03,Canada,9,2,0
3/21/03,China,0,0,0
3/21/03,Germany,1,0,0
3/21/03,"Hong Kong SAR, China",203,6,0
3/21/03,Italy,1,0,0
3/21/03,Republic of Ireland,1,0,0
3/21/03,Singapore,39,0,0
3/21/03,Slovenia,1,0,0
3/21/03,Spain,1,0,0
3/21/03,Switzerland,7,0,0
3/21/03,"Taiwan, China",6,0,0
3/21/03,Thailand,4,0,0
3/21/03,United Kingdom,2,0,0
3/21/03,United States,13,0,0
3/21/03,Viet Nam,62,2,0
3/22/03,Canada,9,2,0
3/22/03,China,0,0,0
3/22/03,Germany,2,0,0
3/22/03,"Hong Kong SAR, China",222,7,0
3/22/03,Italy,2,0,0
3/22/03,Republic of Ireland,1,0,0
3/22/03,Singapore,44,0,0
3/22/03,Slovenia,1,0,0
3/22/03,Spain,1,0,0
3/22/03,Switzerland,7,0,0
3/22/03,"Taiwan, China",6,0,0
3/22/03,Thailand,4,0,0
3/22/03,United Kingdom,2,0,0
3/22/03,United States,22,0,0
3/22/03,Viet Nam,63,2,0
3/24/03,Canada,11,3,0
3/24/03,China,0,0,0
3/24/03,France,1,0,0
3/24/03,Germany,4,0,0
3/24/03,"Hong Kong SAR, China",260,10,0
3/24/03,Italy,2,0,0
3/24/03,Republic of Ireland,1,0,0
3/24/03,Singapore,65,0,0
3/24/03,Spain,1,0,0
3/24/03,Switzerland,2,0,0
3/24/03,"Taiwan, China",6,0,0
3/24/03,Thailand,5,0,0
3/24/03,United Kingdom,3,0,0
3/24/03,United States,37,0,0
3/24/03,Viet Nam,58,4,0
3/25/03,Canada,11,3,0
3/25/03,China,0,0,0
3/25/03,France,1,0,0
3/25/03,Germany,4,0,0
3/25/03,"Hong Kong SAR, China",286,10,0
3/25/03,Italy,2,0,0
3/25/03,Republic of Ireland,1,0,0
3/25/03,Singapore,69,0,0
3/25/03,Switzerland,2,0,0
3/25/03,"Taiwan, China",6,0,0
3/25/03,Thailand,5,0,0
3/25/03,United Kingdom,3,0,0
3/25/03,United States,39,0,0
3/25/03,Viet Nam,58,4,0
3/26/03,Canada,19,3,0
3/26/03,China,792,31,0
3/26/03,"Hong Kong SAR, China",316,10,0
3/26/03,"Taiwan, China",6,0,0
3/26/03,France,1,0,0
3/26/03,Germany,4,0,0
3/26/03,Italy,3,0,0
3/26/03,Republic of Ireland,2,0,0
3/26/03,Singapore,74,1,0
3/26/03,Switzerland,2,0,0
3/26/03,Thailand,3,0,0
3/26/03,United Kingdom,3,0,0
3/26/03,United States,40,0,0
3/26/03,Viet Nam,58,4,0
3/27/03,Canada,28,3,0
3/27/03,China,806,34,0
3/27/03,"Hong Kong SAR, China",367,10,0
3/27/03,"Taiwan, China",6,0,0
3/27/03,France,1,0,0
3/27/03,Germany,4,0,0
3/27/03,Italy,2,0,0
3/27/03,Republic of Ireland,2,0,0
3/27/03,Romania,3,0,0
3/27/03,Singapore,78,2,0
3/27/03,Switzerland,2,0,0
3/27/03,Thailand,3,0,0
3/27/03,United Kingdom,3,0,0
3/27/03,United States,45,0,0
3/27/03,Viet Nam,58,4,0
3/28/03,Canada,29,3,0
3/28/03,China,806,34,0
3/28/03,"Hong Kong SAR, China",425,10,0
3/28/03,"Taiwan, China",10,0,0
3/28/03,France,1,0,0
3/28/03,Germany,4,0,0
3/28/03,Italy,2,0,0
3/28/03,Republic of Ireland,2,0,0
3/28/03,Romania,3,0,0
3/28/03,Singapore,86,2,0
3/28/03,Switzerland,2,0,0
3/28/03,Thailand,3,0,0
3/28/03,United Kingdom,3,0,0
3/28/03,United States,51,0,0
3/28/03,Viet Nam,58,4,0
3/29/03,Canada,37,3,0
3/29/03,China,806,34,0
3/29/03,"Hong Kong SAR, China",470,10,0
3/29/03,"Taiwan, China",10,0,0
3/29/03,France,1,0,0
3/29/03,Germany,4,0,0
3/29/03,Italy,2,0,0
3/29/03,Republic of Ireland,2,0,0
3/29/03,Romania,3,0,0
3/29/03,Singapore,89,2,0
3/29/03,Switzerland,3,0,0
3/29/03,Thailand,3,1,0
3/29/03,United Kingdom,3,0,0
3/29/03,United States,59,0,0
3/29/03,Viet Nam,58,4,0
3/31/03,Canada,44,4,0
3/31/03,China,806,34,0
3/31/03,"Hong Kong SAR, China",530,13,0
3/31/03,"Taiwan, China",10,0,0
3/31/03,France,1,0,0
3/31/03,Germany,5,0,0
3/31/03,Italy,2,0,0
3/31/03,Republic of Ireland,2,0,0
3/31/03,Romania,3,0,0
3/31/03,Singapore,91,2,0
3/31/03,Switzerland,3,0,0
3/31/03,Thailand,5,1,0
3/31/03,United Kingdom,3,0,0
3/31/03,United States,59,0,0
3/31/03,Viet Nam,58,4,0
4/1/03,Australia,1,0,0
4/1/03,Belgium,1,0,0
4/1/03,Canada,53,4,0
4/1/03,China,806,34,0
4/1/03,"Hong Kong SAR, China",685,16,0
4/1/03,"Taiwan, China",13,0,0
4/1/03,France,1,0,0
4/1/03,Germany,5,0,0
4/1/03,Italy,3,0,0
4/1/03,Republic of Ireland,2,0,0
4/1/03,Romania,3,0,0
4/1/03,Singapore,92,3,0
4/1/03,Switzerland,3,0,0
4/1/03,Thailand,6,1,0
4/1/03,United Kingdom,3,0,0
4/1/03,United States,69,0,0
4/1/03,Viet Nam,58,4,0
4/2/03,Australia,1,0,0
4/2/03,Belgium,1,0,0
4/2/03,Canada,58,6,0
4/2/03,China,1190,46,0
4/2/03,"Hong Kong SAR, China",708,16,0
4/2/03,"Taiwan, China",13,0,0
4/2/03,France,1,0,0
4/2/03,Germany,5,0,0
4/2/03,Italy,3,0,0
4/2/03,Republic of Ireland,2,0,0
4/2/03,Romania,3,0,0
4/2/03,Singapore,95,4,0
4/2/03,Spain,1,0,0
4/2/03,Switzerland,2,0,0
4/2/03,Thailand,7,2,0
4/2/03,United Kingdom,3,0,0
4/2/03,United States,72,0,0
4/2/03,Viet Nam,58,4,0
4/3/03,Australia,1,0,0
4/3/03,Belgium,1,0,0
4/3/03,Brazil,1,0,0
4/3/03,Canada,62,6,0
4/3/03,China,1190,46,0
4/3/03,"Hong Kong SAR, China",734,17,0
4/3/03,"Taiwan, China",14,0,0
4/3/03,France,3,0,0
4/3/03,Germany,5,0,0
4/3/03,Italy,3,0,0
4/3/03,Republic of Ireland,1,0,0
4/3/03,Romania,1,0,0
4/3/03,Singapore,98,4,0
4/3/03,Switzerland,2,0,0
4/3/03,Thailand,7,2,0
4/3/03,United Kingdom,3,0,0
4/3/03,United States,85,0,0
4/3/03,Viet Nam,59,4,0
4/4/03,Australia,1,0,0
4/4/03,Belgium,1,0,0
4/4/03,Brazil,1,0,0
4/4/03,Canada,69,7,0
4/4/03,China,1220,49,0
4/4/03,"Hong Kong SAR, China",761,17,0
4/4/03,"Taiwan, China",15,0,0
4/4/03,France,3,0,0
4/4/03,Germany,5,0,0
4/4/03,Italy,3,0,0
4/4/03,Republic of Ireland,1,0,0
4/4/03,Romania,1,0,0
4/4/03,Singapore,100,5,0
4/4/03,Spain,1,0,0
4/4/03,Switzerland,2,0,0
4/4/03,Thailand,7,2,0
4/4/03,United Kingdom,3,0,0
4/4/03,United States,100,0,0
4/4/03,Viet Nam,59,4,0
4/5/03,Australia,1,0,0
4/5/03,Belgium,1,0,0
4/5/03,Brazil,1,0,0
4/5/03,Canada,74,7,0
4/5/03,China,1220,49,0
4/5/03,"Hong Kong SAR, China",800,20,0
4/5/03,"Taiwan, China",17,0,0
4/5/03,France,3,0,0
4/5/03,Germany,5,0,0
4/5/03,Italy,3,0,0
4/5/03,Malaysia,1,1,0
4/5/03,Republic of Ireland,1,0,0
4/5/03,Romania,1,0,0
4/5/03,Singapore,101,6,0
4/5/03,Spain,1,0,0
4/5/03,Switzerland,1,0,0
4/5/03,Thailand,7,2,0
4/5/03,United Kingdom,4,0,0
4/5/03,United States,115,0,0
4/5/03,Viet Nam,59,4,0
4/7/03,Australia,1,0,0
4/7/03,Brazil,1,0,0
4/7/03,Canada,90,9,0
4/7/03,China,1268,53,0
4/7/03,"Hong Kong SAR, China",883,23,0
4/7/03,"Taiwan, China",21,0,0
4/7/03,France,3,0,0
4/7/03,Germany,5,0,0
4/7/03,Italy,3,0,0
4/7/03,Malaysia,1,1,0
4/7/03,Republic of Ireland,1,0,0
4/7/03,Romania,1,0,0
4/7/03,Singapore,106,6,0
4/7/03,Spain,1,0,0
4/7/03,Switzerland,1,0,0
4/7/03,Thailand,7,2,0
4/7/03,United Kingdom,5,0,0
4/7/03,United States,141,0,0
4/7/03,Viet Nam,62,4,0
4/8/03,Australia,1,0,0
4/8/03,Brazil,1,0,0
4/8/03,Canada,91,10,0
4/8/03,China,1279,53,0
4/8/03,"Hong Kong SAR, China",928,25,0
4/8/03,"Taiwan, China",19,0,0
4/8/03,France,4,0,0
4/8/03,Germany,5,0,0
4/8/03,Italy,3,0,0
4/8/03,Malaysia,1,1,0
4/8/03,Republic of Ireland,1,0,0
4/8/03,Romania,1,0,0
4/8/03,Singapore,113,8,0
4/8/03,Spain,1,0,0
4/8/03,Switzerland,1,0,0
4/8/03,Thailand,7,2,0
4/8/03,United Kingdom,5,0,0
4/8/03,United States,148,0,0
4/8/03,Viet Nam,62,4,0
4/9/03,Brazil,1,0,0
4/9/03,Canada,94,10,0
4/9/03,China,1280,53,0
4/9/03,"Hong Kong SAR, China",970,27,0
4/9/03,"Taiwan, China",19,0,0
4/9/03,France,4,0,0
4/9/03,Germany,5,0,0
4/9/03,Italy,3,0,0
4/9/03,Malaysia,1,1,0
4/9/03,Republic of Ireland,1,0,0
4/9/03,Romania,1,0,0
4/9/03,Singapore,118,9,0
4/9/03,Spain,1,0,0
4/9/03,Switzerland,1,0,0
4/9/03,Thailand,7,2,0
4/9/03,United Kingdom,5,0,0
4/9/03,United States,149,0,0
4/9/03,Viet Nam,62,4,0
4/10/03,Brazil,2,0,0
4/10/03,Canada,97,10,22
4/10/03,China,1290,55,1025
4/10/03,"Hong Kong SAR, China",998,30,154
4/10/03,"Taiwan, China",19,0,5
4/10/03,France,4,0,0
4/10/03,Germany,6,0,2
4/10/03,Italy,3,0,1
4/10/03,Kuwait,1,0,0
4/10/03,Malaysia,3,1,0
4/10/03,Republic of Ireland,1,0,1
4/10/03,Romania,1,0,0
4/10/03,Singapore,126,9,75
4/10/03,Spain,1,0,0
4/10/03,Switzerland,1,0,1
4/10/03,Thailand,7,2,5
4/10/03,United Kingdom,5,0,3
4/10/03,United States,154,0,0
4/10/03,Viet Nam,62,4,43
4/11/03,Brazil,2,0,0
4/11/03,Canada,98,10,25
4/11/03,China,1309,58,1037
4/11/03,"Hong Kong SAR, China",1059,32,169
4/11/03,"Taiwan, China",21,0,6
4/11/03,France,5,0,0
4/11/03,Germany,6,0,4
4/11/03,Italy,3,0,2
4/11/03,Japan,4,0,0
4/11/03,Kuwait,1,0,0
4/11/03,Malaysia,4,1,0
4/11/03,Republic of Ireland,1,0,1
4/11/03,Romania,1,0,0
4/11/03,Singapore,133,9,77
4/11/03,South Africa,1,0,0
4/11/03,Spain,1,0,0
4/11/03,Switzerland,1,0,1
4/11/03,Thailand,7,2,5
4/11/03,United Kingdom,5,0,3
4/11/03,United States,166,0,0
4/11/03,Viet Nam,62,4,43
4/12/03,Brazil,2,0,0
4/12/03,Canada,101,10,26
4/12/03,China,1309,58,1037
4/12/03,"Hong Kong SAR, China",1108,35,215
4/12/03,"Taiwan, China",23,0,7
4/12/03,France,5,0,1
4/12/03,Germany,6,0,4
4/12/03,Italy,3,0,2
4/12/03,Japan,4,0,0
4/12/03,Kuwait,1,0,0
4/12/03,Malaysia,4,1,0
4/12/03,Republic of Ireland,1,0,1
4/12/03,Romania,1,0,0
4/12/03,Singapore,147,9,77
4/12/03,South Africa,1,0,0
4/12/03,Spain,1,0,0
4/12/03,Switzerland,1,0,1
4/12/03,Thailand,8,2,5
4/12/03,United Kingdom,6,0,3
4/12/03,United States,166,0,0
4/12/03,China,62,4,46
4/14/03,Brazil,2,0,0
4/14/03,Canada,100,13,27
4/14/03,China,1418,64,1088
4/14/03,"Hong Kong SAR, China",1190,47,229
4/14/03,"Taiwan, China",23,0,7
4/14/03,France,5,0,1
4/14/03,Germany,6,0,4
4/14/03,Indonesia,1,0,0
4/14/03,Italy,3,0,2
4/14/03,Kuwait,1,0,0
4/14/03,Malaysia,4,1,0
4/14/03,Philippines,1,0,1
4/14/03,Republic of Ireland,1,0,1
4/14/03,Romania,1,0,0
4/14/03,Singapore,158,12,84
4/14/03,South Africa,1,0,0
4/14/03,Spain,1,0,0
4/14/03,Sweden,1,0,0
4/14/03,Switzerland,1,0,1
4/14/03,Thailand,8,2,5
4/14/03,United Kingdom,6,0,3
4/14/03,United States,174,0,0
4/14/03,Viet Nam,63,5,46
4/15/03,Brazil,2,0,0
4/15/03,Canada,100,13,27
4/15/03,China,1418,64,1088
4/15/03,"Hong Kong SAR, China",1232,56,243
4/15/03,"Taiwan, China",23,0,7
4/15/03,France,5,0,1
4/15/03,Germany,6,0,4
4/15/03,Indonesia,1,0,0
4/15/03,Italy,3,0,2
4/15/03,Japan,1,0,0
4/15/03,Kuwait,1,0,0
4/15/03,Malaysia,4,1,0
4/15/03,Philippines,1,0,1
4/15/03,Republic of Ireland,1,0,1
4/15/03,Romania,1,0,1
4/15/03,Singapore,162,13,85
4/15/03,South Africa,1,0,0
4/15/03,Spain,1,0,0
4/15/03,Sweden,1,0,0
4/15/03,Switzerland,1,0,1
4/15/03,Thailand,8,2,5
4/15/03,United Kingdom,6,0,3
4/15/03,United States,193,0,0
4/15/03,Viet Nam,63,5,46
4/16/03,Brazil,2,0,0
4/16/03,Canada,103,13,37
4/16/03,China,1432,64,1094
4/16/03,"Hong Kong SAR, China",1268,61,257
4/16/03,"Taiwan, China",27,0,10
4/16/03,France,5,0,1
4/16/03,Germany,6,0,4
4/16/03,Indonesia,1,0,0
4/16/03,Italy,3,0,2
4/16/03,Japan,1,0,0
4/16/03,Kuwait,1,0,0
4/16/03,Malaysia,5,1,0
4/16/03,Philippines,1,0,1
4/16/03,Republic of Ireland,1,0,1
4/16/03,Romania,1,0,1
4/16/03,Singapore,162,13,85
4/16/03,South Africa,1,0,0
4/16/03,Spain,1,0,0
4/16/03,Sweden,1,0,0
4/16/03,Switzerland,1,0,1
4/16/03,Thailand,8,2,5
4/16/03,United Kingdom,6,0,3
4/16/03,United States,193,0,0
4/16/03,Viet Nam,63,5,46
4/17/03,Australia,3,0,3
4/17/03,Brazil,2,0,0
4/17/03,Canada,126,12,46
4/17/03,China,1457,65,1107
4/17/03,"Hong Kong SAR, China",1297,65,272
4/17/03,"Taiwan, China",27,0,10
4/17/03,France,5,0,1
4/17/03,Germany,6,0,4
4/17/03,India,1,0,0
4/17/03,Indonesia,1,0,0
4/17/03,Italy,3,0,2
4/17/03,Japan,2,0,0
4/17/03,Kuwait,1,0,0
4/17/03,Malaysia,5,1,0
4/17/03,Mongolia,3,0,3
4/17/03,Philippines,1,0,1
4/17/03,Republic of Ireland,1,0,1
4/17/03,Romania,1,0,1
4/17/03,Singapore,167,15,91
4/17/03,South Africa,1,0,0
4/17/03,Spain,1,0,0
4/17/03,Sweden,1,0,0
4/17/03,Switzerland,1,0,1
4/17/03,Thailand,8,2,5
4/17/03,United Kingdom,6,0,3
4/17/03,United States,199,0,0
4/17/03,Viet Nam,63,5,46
4/18/03,Australia,3,0,3
4/18/03,Brazil,2,0,0
4/18/03,Canada,132,12,54
4/18/03,China,1512,65,1140
4/18/03,"Hong Kong SAR, China",1358,81,363
4/18/03,"Taiwan, China",29,0,17
4/18/03,France,5,0,1
4/18/03,Germany,6,0,4
4/18/03,India,1,0,1
4/18/03,Indonesia,1,0,0
4/18/03,Italy,3,0,2
4/18/03,Japan,4,0,0
4/18/03,Kuwait,1,0,0
4/18/03,Malaysia,5,1,0
4/18/03,Mongolia,3,0,3
4/18/03,Philippines,1,0,1
4/18/03,Republic of Ireland,1,0,1
4/18/03,Romania,1,0,1
4/18/03,Singapore,177,16,100
4/18/03,South Africa,1,0,0
4/18/03,Spain,1,0,0
4/18/03,Sweden,3,0,0
4/18/03,Switzerland,1,0,1
4/18/03,Thailand,7,2,6
4/18/03,United Kingdom,6,0,5
4/18/03,United States,220,0,0
4/18/03,Viet Nam,63,5,46
4/19/03,Australia,3,0,3
4/19/03,Brazil,2,0,0
4/19/03,Canada,132,12,54
4/19/03,China,1512,65,1140
4/19/03,"Hong Kong SAR, China",1358,81,363
4/19/03,"Taiwan, China",29,0,17
4/19/03,France,5,0,1
4/19/03,Germany,6,0,4
4/19/03,India,1,0,1
4/19/03,Indonesia,1,0,0
4/19/03,Italy,3,0,2
4/19/03,Japan,4,0,0
4/19/03,Kuwait,1,0,0
4/19/03,Malaysia,5,1,0
4/19/03,Mongolia,3,0,3
4/19/03,Philippines,1,0,1
4/19/03,Republic of Ireland,1,0,1
4/19/03,Romania,1,0,1
4/19/03,Singapore,177,16,100
4/19/03,South Africa,1,0,0
4/19/03,Spain,1,0,0
4/19/03,Sweden,3,0,0
4/19/03,Switzerland,1,0,1
4/19/03,Thailand,7,2,6
4/19/03,United Kingdom,6,0,5
4/19/03,United States,220,0,0
4/19/03,Viet Nam,63,5,46
4/21/03,Australia,3,0,3
4/21/03,Brazil,2,0,0
4/21/03,Canada,132,12,54
4/21/03,China,1959,86,1187
4/21/03,"Hong Kong SAR, China",1402,94,436
4/21/03,"Taiwan, China",29,0,17
4/21/03,France,5,0,1
4/21/03,Germany,6,0,4
4/21/03,India,1,0,1
4/21/03,Indonesia,1,0,0
4/21/03,Italy,3,0,2
4/21/03,Japan,5,0,0
4/21/03,Kuwait,1,0,1
4/21/03,Malaysia,6,1,0
4/21/03,Mongolia,3,0,3
4/21/03,Philippines,2,1,1
4/21/03,Republic of Ireland,1,0,1
4/21/03,Romania,1,0,1
4/21/03,Singapore,178,16,104
4/21/03,South Africa,1,0,0
4/21/03,Spain,1,0,0
4/21/03,Sweden,3,0,0
4/21/03,Switzerland,1,0,1
4/21/03,Thailand,7,2,5
4/21/03,United Kingdom,6,0,5
4/21/03,United States,39,0,0
4/21/03,Viet Nam,63,5,46
4/22/03,Australia,3,0,3
4/22/03,Brazil,2,0,0
4/22/03,Canada,139,13,65
4/22/03,China,2001,92,1201
4/22/03,"Hong Kong SAR, China",1434,99,461
4/22/03,"Taiwan, China",29,0,21
4/22/03,France,5,0,1
4/22/03,Germany,7,0,6
4/22/03,India,1,0,1
4/22/03,Indonesia,1,0,0
4/22/03,Italy,3,0,2
4/22/03,Japan,2,0,0
4/22/03,Kuwait,1,0,1
4/22/03,Malaysia,6,1,0
4/22/03,Mongolia,3,0,3
4/22/03,Philippines,2,1,1
4/22/03,Republic of Ireland,1,0,1
4/22/03,Romania,1,0,1
4/22/03,Singapore,186,16,110
4/22/03,South Africa,1,0,0
4/22/03,Spain,1,0,0
4/22/03,Sweden,3,0,0
4/22/03,Switzerland,1,0,1
4/22/03,Thailand,7,2,5
4/22/03,United Kingdom,6,0,5
4/22/03,United States,38,0,0
4/22/03,Viet Nam,63,5,46
4/23/03,Australia,4,0,3
4/23/03,Brazil,2,0,0
4/23/03,Canada,140,13,65
4/23/03,China,2305,106,1231
4/23/03,"Hong Kong SAR, China",1458,105,522
4/23/03,"Taiwan, China",37,0,21
4/23/03,France,5,0,1
4/23/03,Germany,7,0,6
4/23/03,India,1,0,1
4/23/03,Indonesia,1,0,0
4/23/03,Italy,3,0,2
4/23/03,Japan,2,0,0
4/23/03,Kuwait,1,0,1
4/23/03,Malaysia,5,2,2
4/23/03,Mongolia,3,0,3
4/23/03,Philippines,2,1,1
4/23/03,Republic of Ireland,1,0,1
4/23/03,Romania,1,0,1
4/23/03,Singapore,189,17,114
4/23/03,South Africa,1,0,0
4/23/03,Spain,1,0,0
4/23/03,Sweden,3,0,0
4/23/03,Switzerland,1,0,1
4/23/03,Thailand,7,2,5
4/23/03,United Kingdom,6,0,5
4/23/03,United States,39,0,0
4/23/03,Viet Nam,63,5,46
4/24/03,Brazil,2,0,2
4/24/03,Bulgaria,1,0,0
4/24/03,Canada,140,15,67
4/24/03,China,2422,110,1254
4/24/03,"Hong Kong SAR, China",1488,109,567
4/24/03,"Taiwan, China",37,0,21
4/24/03,France,5,0,1
4/24/03,Germany,7,0,6
4/24/03,India,1,0,1
4/24/03,Indonesia,1,0,1
4/24/03,Italy,4,0,3
4/24/03,Japan,2,0,0
4/24/03,Kuwait,1,0,1
4/24/03,Malaysia,5,2,2
4/24/03,Mongolia,3,0,3
4/24/03,Philippines,2,1,1
4/24/03,Republic of Ireland,1,0,1
4/24/03,Romania,1,0,1
4/24/03,Singapore,192,19,118
4/24/03,South Africa,1,0,0
4/24/03,Spain,1,0,1
4/24/03,Sweden,3,0,2
4/24/03,Switzerland,1,0,1
4/24/03,Thailand,8,2,5
4/24/03,United Kingdom,6,0,6
4/24/03,United States,37,0,0
4/24/03,Viet Nam,63,5,49
4/25/03,Brazil,2,0,2
4/25/03,Bulgaria,1,0,0
4/25/03,Canada,140,15,74
4/25/03,China,2601,115,1277
4/25/03,"Hong Kong SAR, China",1510,115,614
4/25/03,"Taiwan, China",41,0,21
4/25/03,France,5,0,1
4/25/03,Germany,7,0,6
4/25/03,India,1,0,1
4/25/03,Indonesia,1,0,1
4/25/03,Italy,4,0,3
4/25/03,Japan,2,0,0
4/25/03,Kuwait,1,0,1
4/25/03,Malaysia,5,2,2
4/25/03,Mongolia,3,0,3
4/25/03,Philippines,2,1,1
4/25/03,Republic of Ireland,1,0,1
4/25/03,Romania,1,0,1
4/25/03,Singapore,195,19,126
4/25/03,South Africa,1,0,0
4/25/03,Spain,1,0,1
4/25/03,Sweden,3,0,2
4/25/03,Switzerland,1,0,1
4/25/03,Thailand,8,2,5
4/25/03,United Kingdom,6,0,6
4/25/03,United States,39,0,0
4/25/03,Viet Nam,63,5,53
4/26/03,Brazil,2,0,2
4/26/03,Bulgaria,1,0,0
4/26/03,Canada,142,18,77
4/26/03,China,2753,122,1285
4/26/03,"Hong Kong SAR, China",1527,121,632
4/26/03,"Taiwan, China",49,0,25
4/26/03,France,5,0,1
4/26/03,Germany,7,0,6
4/26/03,India,1,0,1
4/26/03,Indonesia,1,0,1
4/26/03,Italy,4,0,3
4/26/03,Japan,2,0,0
4/26/03,Kuwait,1,0,1
4/26/03,Malaysia,5,2,2
4/26/03,Mongolia,5,0,3
4/26/03,Philippines,4,2,1
4/26/03,Republic of Ireland,1,0,1
4/26/03,Romania,1,0,1
4/26/03,Singapore,198,21,126
4/26/03,South Africa,1,0,0
4/26/03,Spain,1,0,1
4/26/03,Sweden,3,0,2
4/26/03,Switzerland,1,0,1
4/26/03,Thailand,7,2,5
4/26/03,United Kingdom,6,0,6
4/26/03,United States,41,0,0
4/26/03,Viet Nam,63,5,53
4/28/03,Brazil,2,0,2
4/28/03,Bulgaria,1,0,0
4/28/03,Canada,142,18,77
4/28/03,China,2914,131,1299
4/28/03,"Hong Kong SAR, China",1557,138,710
4/28/03,"Taiwan, China",66,0,25
4/28/03,France,5,0,1
4/28/03,Germany,7,0,6
4/28/03,India,1,0,1
4/28/03,Indonesia,1,0,1
4/28/03,Italy,8,0,3
4/28/03,Japan,2,0,0
4/28/03,Kuwait,1,0,1
4/28/03,Malaysia,6,2,2
4/28/03,Mongolia,5,0,3
4/28/03,Philippines,4,2,1
4/28/03,Republic of Ireland,1,0,1
4/28/03,Romania,1,0,1
4/28/03,Singapore,199,23,137
4/28/03,South Africa,1,0,0
4/28/03,Spain,1,0,1
4/28/03,Sweden,3,0,2
4/28/03,Switzerland,1,0,1
4/28/03,Thailand,7,2,5
4/28/03,United Kingdom,6,0,6
4/28/03,United States,41,0,0
4/28/03,Viet Nam,63,5,53
4/29/03,Brazil,2,0,2
4/29/03,Bulgaria,1,0,0
4/29/03,Canada,146,20,86
4/29/03,China,3303,148,1322
4/29/03,"Hong Kong SAR, China",1572,150,759
4/29/03,"Taiwan, China",66,0,25
4/29/03,France,5,0,1
4/29/03,Germany,7,0,6
4/29/03,India,1,0,1
4/29/03,Indonesia,1,0,1
4/29/03,Italy,9,0,4
4/29/03,Japan,2,0,0
4/29/03,Kuwait,1,0,1
4/29/03,Malaysia,6,2,3
4/29/03,Mongolia,5,0,3
4/29/03,Philippines,4,2,1
4/29/03,Republic of Ireland,1,0,1
4/29/03,Republic of Korea,1,0,0
4/29/03,Romania,1,0,1
4/29/03,Singapore,201,24,139
4/29/03,South Africa,1,0,0
4/29/03,Spain,1,0,1
4/29/03,Sweden,3,0,2
4/29/03,Switzerland,1,0,1
4/29/03,Thailand,7,2,5
4/29/03,United Kingdom,6,0,6
4/29/03,United States,41,0,0
4/29/03,Viet Nam,63,5,53
4/30/03,Brazil,2,0,2
4/30/03,Bulgaria,1,0,0
4/30/03,Canada,148,20,87
4/30/03,China,3460,159,1332
4/30/03,"Hong Kong SAR, China",1589,157,791
4/30/03,"Macao SAR, China",1,0,0
4/30/03,"Taiwan, China",78,1,25
4/30/03,France,5,0,1
4/30/03,Germany,7,0,7
4/30/03,Indonesia,2,0,1
4/30/03,Italy,9,0,4
4/30/03,Japan,2,0,0
4/30/03,Kuwait,1,0,1
4/30/03,Malaysia,6,2,3
4/30/03,Mongolia,6,0,3
4/30/03,Philippines,4,2,1
4/30/03,Republic of Ireland,1,0,1
4/30/03,Republic of Korea,1,0,0
4/30/03,Romania,1,0,1
4/30/03,Singapore,201,24,139
4/30/03,South Africa,1,0,0
4/30/03,Spain,1,0,1
4/30/03,Sweden,3,0,2
4/30/03,Switzerland,1,0,1
4/30/03,Thailand,7,2,5
4/30/03,United Kingdom,6,0,6
4/30/03,United States,52,0,0
4/30/03,Viet Nam,63,5,53
5/1/03,Brazil,2,0,2
5/1/03,Bulgaria,1,0,0
5/1/03,Canada,147,20,87
5/1/03,China,3638,170,1351
5/1/03,"Hong Kong SAR, China",1600,162,834
5/1/03,"Macao SAR, China",1,0,0
5/1/03,"Taiwan, China",89,3,25
5/1/03,France,5,0,1
5/1/03,Germany,7,0,7
5/1/03,Indonesia,2,0,1
5/1/03,Italy,9,0,4
5/1/03,Japan,2,0,0
5/1/03,Kuwait,1,0,1
5/1/03,Malaysia,6,2,3
